AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_5_9,AGE_65_74,AGE_75_84,AGE_85_UP,AGE_UNDER5,AMERI_ES,ASIAN,AVE_FAM_SZ,AVE_HH_SZ,BLACK,CAPITAL,CLASS,FAMILIES,FEMALES,FHH_CHILD,FID,HAWN_PI,HISPANIC,HOUSEHOLDS,HSEHLD_1_F,HSEHLD_1_M,HSE_UNITS,MALES,MARHH_CHD,MARHH_NO_C,MED_AGE,MED_AGE_F,MED_AGE_M,MHH_CHILD,MULT_RACE,NAME,OBJECTID,OTHER,OWNER_OCC,PLACEFIPS,POP2010,POPULATION,POP_CLASS,RENTER_OCC,SHAPE,ST,STFIPS,VACANT,WHITE
799,1262,1750,1795,1213,1201,1020,849,696,450,232,1013,191,152,3.17,2.49,313, ,city,2695,6161,460,1686,5,5278,4527,924,887,4968,6119,938,900,27.2,28.3,26.3,148,465,Portales,886,1983,2287,3559260,12280,12827,6,2240,"{'x': -11503456.755752012, 'y': 4053642.6423738087, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",NM,35,441,9171
650,769,747,1180,1033,1214,1462,587,1019,654,292,708,148,74,2.91,2.25,133, ,town,2559,5391,508,1690,14,5405,4389,1003,807,4900,4924,571,1039,39.7,42.1,37.3,154,246,Silver City,890,1282,2581,3573260,10315,10151,6,1808,"{'x': -12052546.096454326, 'y': 3865909.376747503, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",NM,35,511,8418
860,815,932,1844,1505,1331,1030,982,582,341,133,1087,168,311,3.4,2.86,178, ,city,2756,5515,332,1693,30,5896,3954,545,640,4303,5927,1139,944,30.5,31.1,29.9,158,342,Guymon,893,2101,2274,4031750,11442,12010,6,1680,"{'x': -11296446.578381749, 'y': 4395990.913458727, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",OK,40,349,8312
852,1724,2470,1707,1258,1368,1036,752,667,462,219,788,91,233,2.99,2.32,313, ,city,2924,6924,357,1699,10,2088,5185,1248,1001,5611,6379,1065,1141,25.3,26.6,24.7,100,264,Canyon,899,622,2639,4812532,13303,13915,6,2546,"{'x': -11344630.643336656, 'y': 4161523.693775876, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",TX,48,426,11770
853,887,773,1404,1243,1389,1209,861,740,642,236,965,79,51,3.19,2.61,428, ,city,2834,5718,399,1715,1,4641,4128,690,588,4787,5484,971,1090,33.9,35.7,32.1,150,288,Snyder,915,1500,2920,4868624,11202,11752,6,1208,"{'x': -11233384.233789088, 'y': 3857378.5501825544, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",TX,48,659,8855
764,720,643,1290,1307,1377,1324,854,902,556,269,900,56,66,3.08,2.47,676, ,city,2801,5601,508,1717,0,4179,4340,786,743,5040,5305,787,1059,37.2,38.6,35.7,171,274,Sweetwater,917,914,2706,4871540,10906,10908,6,1634,"{'x': -11177685.327086147, 'y': 3824760.0636759712, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",TX,48,700,8920
1316,916,436,1149,1513,982,496,1330,283,168,71,1136,29,95,4.44,4.16,41, ,city,2124,4920,99,1724,58,411,2355,138,91,2441,4876,1480,476,22.3,23.3,21.4,25,179,Cedar Hills,924,69,2026,4911440,9796,10037,6,329,"{'x': -12441488.134819455, 'y': 4926675.323638144, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,86,9325
2181,1193,980,4971,2688,1025,683,3401,313,68,18,3894,105,125,4.34,4.19,127, ,city,4741,10603,241,1730,137,1845,5111,151,202,5546,10812,3524,806,20.2,21.3,19.1,98,656,Eagle Mountain,930,585,4404,4920810,21415,25772,6,707,"{'x': -12468080.914350547, 'y': 4911720.55363646, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,435,19680
1079,853,643,1824,1700,1217,773,1245,391,247,82,1308,93,121,3.78,3.35,47, ,city,2668,5618,230,1732,14,2092,3362,343,340,3637,5744,1463,755,28.4,29.1,27.7,94,186,Heber,932,934,2419,4934200,11362,13701,6,943,"{'x': -12398661.219058242, 'y': 4941849.8219204275, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,275,9967
1019,953,768,1932,1367,1374,1475,1194,1435,740,214,1277,177,70,3.32,2.87,72, ,city,3545,6825,263,1736,113,986,4609,565,490,5461,6923,1323,1691,33.6,34.2,33.2,114,321,Hurricane,936,440,3301,4937170,13748,15305,6,1308,"{'x': -12618332.445618099, 'y': 4459994.498482027, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,852,12555
1180,1093,692,1075,1260,1267,820,1056,440,223,81,883,39,135,4.2,3.97,50, ,city,2279,5001,91,1741,42,720,2518,140,95,2602,5069,1296,773,26.2,27.2,25.3,39,289,Lindon,941,274,2135,4945090,10070,10549,6,383,"{'x': -12436462.954818849, 'y': 4915678.619319179, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,84,9241
1007,693,563,1572,1120,749,528,1220,278,149,38,1211,72,13,4.17,3.9,38, ,city,2061,4416,109,1759,10,1098,2338,133,138,2474,4712,1277,545,23.8,24.6,23.2,65,123,Santaquin,959,717,1944,4967770,9128,9962,5,394,"{'x': -12444310.808823591, 'y': 4862210.252501016, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,136,8155
1836,967,665,3808,2443,1014,691,2762,416,110,15,3054,50,163,4.24,4.05,94, ,city,4022,8793,195,1760,140,1026,4387,148,211,4685,8988,2809,836,22.0,22.5,21.4,89,493,Saratoga Springs,960,340,3736,4967825,17781,24017,6,651,"{'x': -12457778.685875086, 'y': 4909161.243168651, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,298,16501
915,744,584,1384,1118,1018,783,1076,510,281,91,991,15,40,3.7,3.35,51, ,city,2408,4768,142,1761,6,571,2836,231,194,2971,4727,1203,918,28.4,28.7,28.1,57,163,Smithfield,961,301,2445,4969640,9495,10713,6,391,"{'x': -12448559.575562255, 'y': 5136233.572330084, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,135,8919
630,604,832,1767,971,841,670,779,411,333,160,1091,204,63,3.31,2.79,46, ,city,2227,4468,276,1770,27,1073,3193,470,471,3659,4621,926,739,28.1,28.7,27.5,128,240,Vernal,970,361,1866,4980090,9089,10709,6,1327,"{'x': -12193709.71611186, 'y': 4931801.66986063, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,466,8148
1007,804,752,1695,1412,1232,718,1074,335,153,70,1020,60,131,3.59,3.21,101, ,city,2595,5083,251,1772,14,916,3200,263,331,3324,5189,1298,839,27.8,28.0,27.5,96,315,West Haven,972,305,2439,4982930,10272,11022,6,761,"{'x': -12476248.007496685, 'y': 5040514.345196951, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,124,9346
798,702,591,1997,1304,901,609,1093,406,109,39,1212,53,153,3.66,3.32,104, ,city,2409,4831,209,1775,116,844,2913,233,257,3034,4930,1274,678,27.7,28.0,27.3,91,274,Woods Cross,975,377,2285,4985370,9761,10475,6,628,"{'x': -12458564.650349341, 'y': 4993638.130183576, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",UT,49,121,8684
448,1662,2548,1093,771,989,843,470,583,526,234,547,52,85,2.86,2.21,3244, ,city,2046,5757,409,1781,3,347,3735,976,706,4158,4957,501,793,24.4,24.8,23.9,68,175,Arkadelphia,981,135,1749,0501870,10714,10852,6,1986,"{'x': -10360713.074054377, 'y': 4045527.5833999645, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AR,05,423,7020
565,816,850,1321,1167,1234,1108,657,811,648,309,762,62,158,3.0,2.38,438, ,city,2444,5381,350,1782,34,1379,4000,956,568,4401,4867,765,1002,36.2,39.2,33.2,121,205,Batesville,982,824,2254,0504030,10248,10387,6,1746,"{'x': -10199398.453940755, 'y': 4268780.509696497, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AR,05,401,8527
